"행정구역별",2018,2019,2020
"전국",514.4,515.7,516.2
"서울특별시",15983.7,15926.9,15839.0
"부산광역시",4409.8,4379.7,4348.9
"대구광역시",2766.7,2750.3,2728.6
"인천광역시",2761.4,2776.6,2765.1
"광주광역시",2973.2,2972.7,2948.5
"대전광역시",2801.0,2777.5,2758.1
"울산광역시",1083.4,1076.9,1069.0
"세종특별자치시",671.9,727.3,761.3
"경기도",1286.2,1305.0,1325.3
"강원도",90.3,90.3,90.4
"충청북도",218.8,220.0,220.3
"충청남도",265.1,265.4,264.0
"전라북도",225.3,224.0,223.4
"전라남도",145.0,144.8,144.9
"경상북도",140.4,140.2,138.9
"경상남도",317.9,317.6,316.2
"제주도",355.8,359.4,362.6
